,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
72,BBC,Tue Mar 27 09:52:08 +0000 2018,"🚀🌎 'Mad' Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 

🚨 SPOILER: it's not.  https://t.co/f5oNRItwyq",0.0,0.0,1.0,0.0,73
73,BBC,Tue Mar 27 09:40:22 +0000 2018,"RT @BBCTwo: Now we've got our country back... what actually is it? 🤔

#CunkOnBritain starts Tuesday 3 April, 10pm, @BBCTwo. @missdianemorga…",0.0,0.0,1.0,0.0,74
74,BBC,Tue Mar 27 09:39:23 +0000 2018,RT @BBCBreakfast: A team of abseilers have been roped in to give Cheddar Gorge in Somerset an extreme spring clean. https://t.co/iYmkiizeRi,0.4019,0.124,0.876,0.0,75
75,BBC,Tue Mar 27 09:38:59 +0000 2018,"RT @BBCR1: We can't get enough of @george_ezra's Live Lounge 😍

Watch him perform 'Paradise' and cover 'These Days' right here 👉https://t.c…",0.0,0.0,1.0,0.0,76
76,BBC,Tue Mar 27 09:36:48 +0000 2018,"RT @bbcgetinspired: Check out @JesseLingard and some of his @PremierLeague mates showing us their super moves. 🕺🏻 

Show us yours with #sup…",0.5994,0.157,0.843,0.0,77
77,BBC,Tue Mar 27 08:00:04 +0000 2018,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/cpKW9tl61v",0.0,0.0,1.0,0.0,78
78,BBC,Tue Mar 27 07:30:04 +0000 2018,"About 700,000 people in the UK are on the autism spectrum, with five times as many males as females being diagnosed… https://t.co/PXJMuG76Tn",0.0,0.0,1.0,0.0,79
79,BBC,Tue Mar 27 07:00:08 +0000 2018,"The number of children living in relative poverty in the UK has risen to 4.1m. 

This is the story of Tyler, one of… https://t.co/xFtEAjBTXC",-0.4588,0.049,0.827,0.124,80
80,BBC,Mon Mar 26 19:03:02 +0000 2018,"Filmed in Nottingham during the worst winter for the NHS on record, groundbreaking series #Hospital returns tonight… https://t.co/PVSIcvCGc9",-0.6249,0.0,0.806,0.194,81
81,BBC,Mon Mar 26 18:24:04 +0000 2018,"Tonight, George Alagiah explores the fascinating history of Queen Elizabeth II and her beloved Commonwealth. 

The… https://t.co/xXer4FRyTq",0.7783,0.312,0.688,0.0,82
82,BBC,Mon Mar 26 17:30:04 +0000 2018,🐶😂 It was a Dachsh(und) to the finish line. https://t.co/7VvkU5GfUg,0.0,0.0,1.0,0.0,83
83,BBC,Mon Mar 26 16:25:02 +0000 2018,"✈️ Joy and Mary flew WW2 planes before any navigation system was installed.
#RAFat100 https://t.co/yxNMblfTEf",0.5859,0.213,0.787,0.0,84
84,BBC,Mon Mar 26 15:45:04 +0000 2018,"Tom Cruise stars in a remake of the 1953 adaptation of HG Wells’s classic novel. 🍿

War of the Worlds | @BBCiPlayer… https://t.co/h19JvTlFSA",-0.3818,0.095,0.744,0.161,85
85,BBC,Mon Mar 26 15:11:57 +0000 2018,"In her role as head of the Commonwealth, the Queen embarked on her first tour of the nations in 1953.

But by 1970… https://t.co/Av61bahNZF",0.0,0.0,1.0,0.0,86
86,BBC,Mon Mar 26 12:58:02 +0000 2018,"Never let a squirrel nibble your nobble... 🎈🐿😱
https://t.co/cHm9m6At3m",0.0,0.0,1.0,0.0,87
87,BBC,Mon Mar 26 11:48:03 +0000 2018,Apple wants to introduce new emojis to better represent people with disabilities. ❤️️ https://t.co/CcJfojmtTa https://t.co/ZRdEhVPMEm,0.4404,0.172,0.828,0.0,88
88,BBC,Mon Mar 26 11:00:05 +0000 2018,"A crack that opened up in Kenya’s Rift Valley, damaging a section of the Narok-Nairobi highway, is still growing... https://t.co/T5YocDauYj",-0.5106,0.0,0.837,0.163,89
89,BBC,Mon Mar 26 10:00:07 +0000 2018,"From hot cross bun gin to Creme Egg Yorkshire pudding, this year’s Easter treats are bigger, weirder and more decad… https://t.co/HvDJmgcB5q",-0.128,0.0,0.93,0.07,90
90,BBC,Mon Mar 26 09:35:06 +0000 2018,RT @bbcpress: Sue Perkins will return to host the 2018 #BAFTA TV awards on Sunday 13 May on @BBCOne. https://t.co/pieSWNAGbH,0.4588,0.136,0.864,0.0,91
91,BBC,Mon Mar 26 09:33:01 +0000 2018,"😂 @BillBailey is NOT a fan of taramasalata. #Room101 

https://t.co/soAAz27c0C",0.3182,0.247,0.753,0.0,92
92,BBC,Mon Mar 26 09:04:01 +0000 2018,"The kiwi bird's egg is so large, it takes almost ten days to lay! 🐦🥚😳  #DavidAttenboroughsNaturalCuriosities
https://t.co/AkZqK9vzZZ",0.0,0.0,1.0,0.0,93
93,BBC,Mon Mar 26 08:29:04 +0000 2018,"🤔Why do so many celebrities decide to enter politics?

Some have done so more successfully than others...… https://t.co/MkEDpSeLMJ",0.5819,0.182,0.818,0.0,94
94,BBC,Mon Mar 26 07:30:10 +0000 2018,"Wishing you could get out of bed just that little bit earlier? 😴

If you need some motivation to set that alarm, he… https://t.co/zsisa2oA4s",0.2263,0.161,0.749,0.09,95
95,BBC,Sun Mar 25 19:44:01 +0000 2018,"Could this be an answer to global water shortages? 🏜💧 This machine creates water out of thin air. 

https://t.co/caz4nXMJg5",0.128,0.101,0.821,0.077,96
96,BBC,Sun Mar 25 19:15:06 +0000 2018,"Tonight, @regyates meets people whose lives have been devastated by the Grenfell fire. 

Reggie Yates: Searching fo… https://t.co/HPgtcZuHte",-0.7506,0.0,0.714,0.286,97
97,BBC,Sun Mar 25 18:40:04 +0000 2018,"Tonight, @mcgregor_ewan and @McgColin celebrate the centenary of the Royal Air Force. 

RAF at 100 with Ewan and Co… https://t.co/nF2iwBP51b",0.5719,0.163,0.837,0.0,98
98,BBC,Sun Mar 25 18:13:03 +0000 2018,The first ever statue of David Bowie has been unveiled in the town where he debuted Ziggy Stardust. ⚡️… https://t.co/lFgROYVkv1,0.0,0.0,1.0,0.0,99
99,BBC,Sun Mar 25 17:30:07 +0000 2018,"When you're enjoying being single and people just can't deal with it. 🙄😂 @kathbum #LiveAtTheApollo 

https://t.co/byHMHWyhPq",0.5267,0.185,0.815,0.0,100
100,CBS,Fri Mar 30 16:50:00 +0000 2018,Take and post a photo of the woman in your life who inspires you! The photo should only have one person against a n… https://t.co/BHdxXlWfKP,0.4926,0.127,0.873,0.0,1
101,CBS,Thu Mar 29 17:32:40 +0000 2018,"Expect epic performances by @kanebrown , @kelly_clarkson, @OfficialJackson, and more at this year's 53rd #ACMawards… https://t.co/3yso7Z0cjv",0.0,0.0,1.0,0.0,2
102,CBS,Thu Mar 29 17:30:02 +0000 2018,"Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of T… https://t.co/v0QIPLC47R",0.0,0.0,1.0,0.0,3
103,CBS,Tue Mar 27 21:00:01 +0000 2018,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu,0.3818,0.212,0.68,0.108,4
104,CBS,Tue Mar 27 17:00:00 +0000 2018,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj,0.296,0.099,0.901,0.0,5
105,CBS,Mon Mar 26 22:14:25 +0000 2018,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…",0.508,0.12,0.88,0.0,6
106,CBS,Mon Mar 26 20:42:48 +0000 2018,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…",0.0,0.0,1.0,0.0,7
107,CBS,Mon Mar 26 16:59:19 +0000 2018,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…,0.7959,0.214,0.786,0.0,8
